race,num_examples,TPR,FPR,threshold
Other,141,0.0,0.0,0.86
Caucasian,924,0.0,0.0,0.86
African-American,1537,0.0,0.0,0.86
Hispanic,210,0.0,0.0,0.86
Asian,15,0.0,0.0,0.86
Native American,10,0.0,0.0,0.86
Other,141,0.0,0.0,0.87
Caucasian,924,0.0,0.0,0.87
African-American,1537,0.0,0.0,0.87
Hispanic,210,0.0,0.0,0.87
Asian,15,0.0,0.0,0.87
Native American,10,0.0,0.0,0.87
Other,141,0.0,0.0,0.88
Caucasian,924,0.0,0.0,0.88
African-American,1537,0.0,0.0,0.88
Hispanic,210,0.0,0.0,0.88
Asian,15,0.0,0.0,0.88
Native American,10,0.0,0.0,0.88
Other,141,0.0,0.0,0.89
Caucasian,924,0.0,0.0,0.89
African-American,1537,0.0,0.0,0.89
Hispanic,210,0.0,0.0,0.89
Asian,15,0.0,0.0,0.89
Native American,10,0.0,0.0,0.89
Other,141,0.0,0.0,0.9
Caucasian,924,0.0,0.0,0.9
African-American,1537,0.0,0.0,0.9
Hispanic,210,0.0,0.0,0.9
Asian,15,0.0,0.0,0.9
Native American,10,0.0,0.0,0.9
Other,141,0.0,0.0,0.91
Caucasian,924,0.0,0.0,0.91
African-American,1537,0.0,0.0,0.91
Hispanic,210,0.0,0.0,0.91
Asian,15,0.0,0.0,0.91
Native American,10,0.0,0.0,0.91
Other,141,0.0,0.0,0.92
Caucasian,924,0.0,0.0,0.92
African-American,1537,0.0,0.0,0.92
Hispanic,210,0.0,0.0,0.92
Asian,15,0.0,0.0,0.92
Native American,10,0.0,0.0,0.92
Other,141,0.0,0.0,0.93
Caucasian,924,0.0,0.0,0.93
African-American,1537,0.0,0.0,0.93
Hispanic,210,0.0,0.0,0.93
Asian,15,0.0,0.0,0.93
Native American,10,0.0,0.0,0.93
Other,141,0.0,0.0,0.9400000000000001
Caucasian,924,0.0,0.0,0.9400000000000001
African-American,1537,0.0,0.0,0.9400000000000001
Hispanic,210,0.0,0.0,0.9400000000000001
Asian,15,0.0,0.0,0.9400000000000001
Native American,10,0.0,0.0,0.9400000000000001
Other,141,0.0,0.0,0.9500000000000001
Caucasian,924,0.0,0.0,0.9500000000000001
African-American,1537,0.0,0.0,0.9500000000000001
Hispanic,210,0.0,0.0,0.9500000000000001
Asian,15,0.0,0.0,0.9500000000000001
Native American,10,0.0,0.0,0.9500000000000001
Other,141,0.0,0.0,0.96
Caucasian,924,0.0,0.0,0.96
African-American,1537,0.0,0.0,0.96
Hispanic,210,0.0,0.0,0.96
Asian,15,0.0,0.0,0.96
