<<<<<<< HEAD
race,FPR,TPR,threshold,auc,n
Caucasian,0.2774451097804391,0.4846335697399527,0.47420756597726776,0.6585693860505938,924
Caucasian,0.27944111776447106,0.4846335697399527,0.4741794465186741,0.6585693860505938,924
Caucasian,0.27944111776447106,0.48699763593380613,0.47411852768070945,0.6585693860505938,924
Caucasian,0.2834331337325349,0.48699763593380613,0.47405018453753034,0.6585693860505938,924
Caucasian,0.2834331337325349,0.491725768321513,0.4739147774704186,0.6585693860505938,924
Caucasian,0.2834331337325349,0.4988179669030733,0.4738229987793449,0.6585693860505938,924
Caucasian,0.2874251497005988,0.4988179669030733,0.4736690920267377,0.6585693860505938,924
Caucasian,0.2874251497005988,0.5011820330969267,0.47365123913448304,0.6585693860505938,924
Caucasian,0.29740518962075846,0.5011820330969267,0.4734368019820046,0.6585693860505938,924
Caucasian,0.29740518962075846,0.5059101654846335,0.47342481915817586,0.6585693860505938,924
Caucasian,0.2994011976047904,0.5059101654846335,0.4733922225640998,0.6585693860505938,924
Caucasian,0.2994011976047904,0.5130023640661938,0.47314086520196097,0.6585693860505938,924
Caucasian,0.3013972055888224,0.5130023640661938,0.47306369716047664,0.6585693860505938,924
Caucasian,0.3013972055888224,0.5153664302600472,0.47284526204213656,0.6585693860505938,924
Caucasian,0.30538922155688625,0.5153664302600472,0.4727146886095354,0.6585693860505938,924
Caucasian,0.30538922155688625,0.5177304964539007,0.47252451171531057,0.6585693860505938,924
Caucasian,0.3193612774451098,0.5177304964539007,0.4722460623529743,0.6585693860505938,924
Caucasian,0.3193612774451098,0.5200945626477541,0.4722460068628853,0.6585693860505938,924
Caucasian,0.3273453093812375,0.5200945626477541,0.4721117531583391,0.6585693860505938,924
Caucasian,0.3273453093812375,0.5224586288416075,0.4721107373934637,0.6585693860505938,924
Caucasian,0.3313373253493014,0.5224586288416075,0.4719957192557197,0.6585693860505938,924
Caucasian,0.3313373253493014,0.524822695035461,0.4719871103734486,0.6585693860505938,924
Caucasian,0.3333333333333333,0.524822695035461,0.4719592633817614,0.6585693860505938,924
Caucasian,0.3333333333333333,0.5271867612293144,0.4718022454445324,0.6585693860505938,924
Caucasian,0.3393213572854291,0.5271867612293144,0.47170623859159766,0.6585693860505938,924
