race,num_examples,TPR,FPR,threshold
Native American,262,0.16483516483516483,0.05263157894736842,0.6
Other,2886,0.40108769544527534,0.15406360424028268,0.61
Caucasian,629,0.16602316602316602,0.02702702702702703,0.61
African-American,174,0.14754098360655737,0.008849557522123894,0.61
Hispanic,1186,0.2222222222222222,0.06475903614457831,0.61
Asian,1873,0.46946564885496184,0.21212121212121213,0.61
Native American,262,0.14285714285714285,0.05263157894736842,0.61
Other,2886,0.3840924541128484,0.13780918727915195,0.62
Caucasian,629,0.16216216216216217,0.024324324324324326,0.62
African-American,174,0.13114754098360656,0.008849557522123894,0.62
Hispanic,1186,0.20881226053639848,0.06325301204819277,0.62
Asian,1873,0.4551526717557252,0.1890909090909091,0.62
Native American,262,0.10989010989010989,0.029239766081871343,0.62
Other,2886,0.36233854520734193,0.12579505300353358,0.63
Caucasian,629,0.1274131274131274,0.021621621621621623,0.63
African-American,174,0.13114754098360656,0.008849557522123894,0.63
Hispanic,1186,0.19157088122605365,0.058734939759036146,0.63
Asian,1873,0.42748091603053434,0.1709090909090909,0.63
Native American,262,0.08791208791208792,0.029239766081871343,0.63
Other,2886,0.33854520734194427,0.12084805653710247,0.64
Caucasian,629,0.1274131274131274,0.021621621621621623,0.64
African-American,174,0.13114754098360656,0.008849557522123894,0.64
Hispanic,1186,0.1724137931034483,0.0572289156626506,0.64
Asian,1873,0.4036259541984733,0.16484848484848486,0.64
Native American,262,0.08791208791208792,0.023391812865497075,0.64
Other,2886,0.3222297756628144,0.11236749116607773,0.65
Caucasian,629,0.11969111969111969,0.021621621621621623,0.65
African-American,174,0.13114754098360656,0.008849557522123894,0.65
Hispanic,1186,0.16283524904214558,0.04969879518072289,0.65
Asian,1873,0.3845419847328244,0.15636363636363637,0.65
Native American,262,0.07692307692307693,0.023391812865497075,0.65
Other,2886,0.3018354860639021,0.10954063604240283,0.66
Caucasian,629,0.10424710424710425,0.01891891891891892,0.66
African-American,174,0.11475409836065574,0.008849557522123894,0.66
Hispanic,1186,0.1532567049808429,0.046686746987951805,0.66
Asian,1873,0.3597328244274809,0.15272727272727274,0.66
Native American,262,0.06593406593406594,0.023391812865497075,0.66
Other,2886,0.2868796736913664,0.0989399293286219,0.67
Caucasian,629,0.10038610038610038,0.01891891891891892,0.67
African-American,174,0.09836065573770492,0.008849557522123894,0.67
Hispanic,1186,0.1475095785440613,0.045180722891566265,0.67
Asian,1873,0.3416030534351145,0.13575757575757577,0.67
Native American,262,0.06593406593406594,0.023391812865497075,0.67
Other,2886,0.2610469068660775,0.0911660777385159,0.68
Caucasian,629,0.10038610038610038,0.013513513513513514,0.68
African-American,174,0.09836065573770492,0.008849557522123894,0.68
Hispanic,1186,0.13409961685823754,0.04066265060240964,0.68
Asian,1873,0.31297709923664124,0.12484848484848485,0.68
Native American,262,0.054945054945054944,0.017543859649122806,0.68
Other,2886,0.23725356900067981,0.08551236749116607,0.6900000000000001
Caucasian,629,0.10038610038610038,0.013513513513513514,0.6900000000000001
African-American,174,0.08196721311475409,0.008849557522123894,0.6900000000000001
Hispanic,1186,0.11302681992337164,0.0391566265060241,0.6900000000000001
Asian,1873,0.29103053435114506,0.11636363636363636,0.6900000000000001
Native American,262,0.054945054945054944,0.017543859649122806,0.6900000000000001
Other,2886,0.22433718558803534,0.07915194346289753,0.7000000000000001
Caucasian,629,0.09652509652509653,0.013513513513513514,0.7000000000000001
African-American,174,0.08196721311475409,0.008849557522123894,0.7000000000000001
Hispanic,1186,0.1111111111111111,0.03463855421686747,0.7000000000000001
Asian,1873,0.2729007633587786,0.10909090909090909,0.7000000000000001
Native American,262,0.054945054945054944,0.017543859649122806,0.7000000000000001
Other,2886,0.20190346702923181,0.07137809187279152,0.7100000000000001
Caucasian,629,0.08494208494208494,0.013513513513513514,0.7100000000000001
African-American,174,0.06557377049180328,0.008849557522123894,0.7100000000000001
Hispanic,1186,0.09386973180076628,0.03313253012048193,0.7100000000000001
Asian,1873,0.2480916030534351,0.0993939393939394,0.7100000000000001
Native American,262,0.054945054945054944,0.005847953216374269,0.7100000000000001
Other,2886,0.18218898708361658,0.0657243816254417,0.72
Caucasian,629,0.0694980694980695,0.008108108108108109,0.72
African-American,174,0.06557377049180328,0.008849557522123894,0.72
Hispanic,1186,0.07662835249042145,0.030120481927710843,0.72
Asian,1873,0.22519083969465647,0.08969696969696969,0.72
Native American,262,0.054945054945054944,0.005847953216374269,0.72
Other,2886,0.16655336505778381,0.06007067137809187,0.73
Caucasian,629,0.0694980694980695,0.008108108108108109,0.73
